,question,answer,source
0,工学基礎演習 06組,"科目番号は工共100、教室は[月3]工1－321 [月4]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は第１ｸｫｰﾀｰ、曜日時限は月3〜4、開講学部等は工学部工学科、講義コードは610000071、科目名[英文名]は工学基礎演習 06組、単位数は2、担当教員[ローマ字表記]は國田　樹　[Itsuki Kunita] 先生 ,  遠藤 聡志 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610000071&je_cd=1
1,キャリアデザイン入門 01組,"科目番号は工共101、教室は[火5]工1－221、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は第１ｸｫｰﾀｰ、曜日時限は火5、開講学部等は工学部工学科、講義コードは610001011、科目名[英文名]はキャリアデザイン入門 01組、単位数は1、担当教員[ローマ字表記]は神田 康行 先生 ,  石川 正明 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610001011&je_cd=1
2,キャリアデザイン入門 02組,"科目番号は工共101、教室は[火5]工1－222、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は第１ｸｫｰﾀｰ、曜日時限は火5、開講学部等は工学部工学科、講義コードは610001021、科目名[英文名]はキャリアデザイン入門 02組、単位数は1、担当教員[ローマ字表記]は神田 康行 先生 ,  石川 正明 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610001021&je_cd=1
3,キャリアデザイン入門 03組,"科目番号は工共101、教室は[火5]工1－221、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は第２ｸｫｰﾀｰ、曜日時限は火5、開講学部等は工学部工学科、講義コードは610001031、科目名[英文名]はキャリアデザイン入門 03組、単位数は1、担当教員[ローマ字表記]は神田 康行 先生 ,  石川 正明 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610001031&je_cd=1
4,キャリアデザイン入門 04組,"科目番号は工共101、教室は[火5]工1－222、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は第２ｸｫｰﾀｰ、曜日時限は火5、開講学部等は工学部工学科、講義コードは610001041、科目名[英文名]はキャリアデザイン入門 04組、単位数は1、担当教員[ローマ字表記]は神田 康行 先生 ,  石川 正明 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610001041&je_cd=1
5,工業数学Ⅰ 07組,科目番号は工共111、教室は[月3]工1－321 [月4]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は第２ｸｫｰﾀｰ、曜日時限は月3〜4、開講学部等は工学部工学科、講義コードは610002071、科目名[英文名]は工業数学Ⅰ 07組、単位数は2、担当教員[ローマ字表記]は山田 孝治 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610002071&je_cd=1
6,プログラミングⅠ,科目番号は工共114、教室は[金1]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は金1、開講学部等は工学部工学科、講義コードは610004071、科目名[英文名]はプログラミングⅠ、単位数は2、担当教員[ローマ字表記]は當間 愛晃 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610004071&je_cd=1
7,基礎数学Ⅰ 06組,"科目番号は工共118、教室は[木3]工1－321、登録人数は70、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は木3、開講学部等は工学部工学科、講義コードは610005071、科目名[英文名]は基礎数学Ⅰ 06組、単位数は1、担当教員[ローマ字表記]は長山 格 先生 ,  岡﨑 威生 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610005071&je_cd=1
8,技術者の倫理 03組,科目番号は工共300、教室は[木1]工1－221、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は木1、開講学部等は工学部工学科、講義コードは610012071、科目名[英文名]は技術者の倫理 03組、単位数は2、担当教員[ローマ字表記]は和田 知久 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610012071&je_cd=1
9,キャリアデザイン 05組,科目番号は工共301、教室は[火4]工1－322 [火5]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は火4〜5、開講学部等は工学部工学科、講義コードは610013071、科目名[英文名]はキャリアデザイン 05組、単位数は2、担当教員[ローマ字表記]は遠藤 聡志 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610013071&je_cd=1
10,技術英語Ⅰ,科目番号は工共321、教室は[金1]工4－111、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は金1、開講学部等は工学部工学科、講義コードは610016001、科目名[英文名]は技術英語Ⅰ、単位数は2、担当教員[ローマ字表記]は比嘉 広樹 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610016001&je_cd=1
11,地域創生論,"科目番号は工共333、教室はなし、登録人数は35、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610021001、科目名[英文名]は地域創生論、単位数は2、担当教員[ローマ字表記]は富山 潤 先生 ,  須田　裕哉 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610021001&je_cd=1
12,インターンシップⅠ 07組,科目番号は工共338、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610026071、科目名[英文名]はインターンシップⅠ 07組、単位数は1、担当教員[ローマ字表記]は當間 愛晃 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610026071&je_cd=1
13,インターンシップⅡ 07組,科目番号は工共339、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610027071、科目名[英文名]はインターンシップⅡ 07組、単位数は1、担当教員[ローマ字表記]は當間 愛晃 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610027071&je_cd=1
14,インターンシップⅢ 07組,科目番号は工共340、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610028071、科目名[英文名]はインターンシップⅢ 07組、単位数は2、担当教員[ローマ字表記]は當間 愛晃 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610028071&je_cd=1
15,国際インターンシップⅠ,科目番号は工共341、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610029001、科目名[英文名]は国際インターンシップⅠ、単位数は1、担当教員[ローマ字表記]は福田　朝生　[Tomoo Fukuda] 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610029001&je_cd=1
16,卒業研究Ⅰ 06組,"科目番号は工共401、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限はその他、開講学部等は工学部工学科、講義コードは610032071、科目名[英文名]は卒業研究Ⅰ 06組、単位数は3、担当教員[ローマ字表記]は吉田 たけお 先生 ,  岡﨑 威生 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610032071&je_cd=1
17,セミナーⅠ 04組,"科目番号は工共405、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限はその他、開講学部等は工学部工学科、講義コードは610036071、科目名[英文名]はセミナーⅠ 04組、単位数は1、担当教員[ローマ字表記]は吉田 たけお 先生 ,  岡﨑 威生 先生 ,  全教員 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610036071&je_cd=1
18,技術英語Ⅲ,"科目番号は工共421、教室はなし、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は木1、開講学部等は工学部工学科、講義コードは610038001、科目名[英文名]は技術英語Ⅲ、単位数は2、担当教員[ローマ字表記]は小野 尋子 先生 ,  糸数　淳子　[Junko Itokazu] 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610038001&je_cd=1
19,国際インターンシップⅡ,科目番号は工共441、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610039001、科目名[英文名]は国際インターンシップⅡ、単位数は2、担当教員[ローマ字表記]は福田　朝生　[Tomoo Fukuda] 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610039001&je_cd=1
20,情報科教育法B,科目番号は工共452、教室はなし、登録人数は10、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610042001、科目名[英文名]は情報科教育法B、単位数は2、担当教員[ローマ字表記]は岡﨑 威生 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610042001&je_cd=1
21,プログラミング演習Ⅰ,科目番号は知能101、教室は[金2]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は金2、開講学部等は工学部工学科、講義コードは617000001、科目名[英文名]はプログラミング演習Ⅰ、単位数は1、担当教員[ローマ字表記]は赤嶺 有平　[Akamine Yuhei] 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617000001&je_cd=1
22,知能情報実験Ⅰ,"科目番号は知能201、教室はなし、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は金3〜4、開講学部等は工学部工学科、講義コードは617003011、科目名[英文名]は知能情報実験Ⅰ、単位数は1.5、担当教員[ローマ字表記]は國田　樹　[Itsuki Kunita] 先生 ,  赤嶺 有平　[Akamine Yuhei] 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617003011&je_cd=1
23,アルゴリズムとデータ構造,科目番号は知能203、教室は[水2]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は水2、開講学部等は工学部工学科、講義コードは617005001、科目名[英文名]はアルゴリズムとデータ構造、単位数は2、担当教員[ローマ字表記]は名嘉村 盛和 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617005001&je_cd=1
24,情報ネットワークⅠ,科目番号は知能204、教室は[水1]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は水1、開講学部等は工学部工学科、講義コードは617006001、科目名[英文名]は情報ネットワークⅠ、単位数は2、担当教員[ローマ字表記]は名嘉村 盛和 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617006001&je_cd=1
25,コンピュータシステム,科目番号は知能205、教室は[月2]工1－321、登録人数は65、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は月2、開講学部等は工学部工学科、講義コードは617007001、科目名[英文名]はコンピュータシステム、単位数は2、担当教員[ローマ字表記]は姜 東植 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617007001&je_cd=1
26,データサイエンス基礎,科目番号は知能206、教室は[火1]工1－321 [火2]工1－321、登録人数は75、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は火1〜2、開講学部等は工学部工学科、講義コードは617008001、科目名[英文名]はデータサイエンス基礎、単位数は4、担当教員[ローマ字表記]は岡﨑 威生 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617008001&je_cd=1
27,プロジェクトデザイン,科目番号は知能207、教室は[木2]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は木2、開講学部等は工学部工学科、講義コードは617009001、科目名[英文名]はプロジェクトデザイン、単位数は2、担当教員[ローマ字表記]は山田 孝治 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617009001&je_cd=1
28,ディジタル回路,科目番号は知能221、教室は[月4]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は月4、開講学部等は工学部工学科、講義コードは617015001、科目名[英文名]はディジタル回路、単位数は2、担当教員[ローマ字表記]は吉田 たけお 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617015001&je_cd=1
29,情報処理技術概論,科目番号は知能222、教室は[月3]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は月3、開講学部等は工学部工学科、講義コードは617016001、科目名[英文名]は情報処理技術概論、単位数は2、担当教員[ローマ字表記]は宮里 智樹 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617016001&je_cd=1
30,知能情報実験III,"科目番号は知能301、教室はなし、登録人数は90、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は木3〜4、開講学部等は工学部工学科、講義コードは617021001、科目名[英文名]は知能情報実験III、単位数は2、担当教員[ローマ字表記]は宮里 智樹 先生 ,  全教員 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617021001&je_cd=1
31,ICT実践英語I,科目番号は知能421、教室はなし、登録人数は30、履修登録方法は抽選対象、開講年度は2022、期間は前学期、曜日時限は水1、開講学部等は工学部工学科、講義コードは617039001、科目名[英文名]はICT実践英語I、単位数は2、担当教員[ローマ字表記]は比嘉　健伸 先生,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617039001&je_cd=1
32,情報技術演習I,"科目番号は知能481、教室はなし、登録人数は30、履修登録方法は調整期間登録、開講年度は2022、期間は前学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは617041001、科目名[英文名]は情報技術演習I、単位数は2、担当教員[ローマ字表記]は名嘉村 盛和 先生 ,  國田　樹　[Itsuki Kunita] 先生",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617041001&je_cd=1
